Model loaded in 0.2486886978149414 seconds
data num: 1000000
Encoded trajectory loaded, time: 81.11007499694824
data num: 1000
Encoded trajectory loaded, time: 0.12673735618591309
Data loaded in 81.33220791816711 seconds
start training from iteration 0
Iteration 500       |  Loss: 3.62686157  |  Test Loss: 3.65740585  |  Test Acc: 22.90%   |  Error Rate: 99.70%   |  Real True Rate: 0.00%    |  Fake True Rate: 0.00%    |  Length Rate Avg: 0.00%    |  Length 110% rate: 0.00%    |
Iteration 1000      |  Loss: 3.11395359  |  Test Loss: 3.10129857  |  Test Acc: 26.87%   |  Error Rate: 99.80%   |  Real True Rate: 0.10%    |  Fake True Rate: 0.00%    |  Length Rate Avg: 112.50%  |  Length 110% rate: 50.00%   |
Iteration 1500      |  Loss: 1.91293979  |  Test Loss: 1.88643169  |  Test Acc: 32.09%   |  Error Rate: 99.80%   |  Real True Rate: 0.00%    |  Fake True Rate: 0.00%    |  Length Rate Avg: 122.77%  |  Length 110% rate: 50.00%   |
Iteration 2000      |  Loss: 1.82819450  |  Test Loss: 1.84945631  |  Test Acc: 32.61%   |  Error Rate: 99.50%   |  Real True Rate: 0.20%    |  Fake True Rate: 0.00%    |  Length Rate Avg: 124.25%  |  Length 110% rate: 40.00%   |
Iteration 2500      |  Loss: 1.65903103  |  Test Loss: 1.53346717  |  Test Acc: 43.28%   |  Error Rate: 96.90%   |  Real True Rate: 1.50%    |  Fake True Rate: 0.00%    |  Length Rate Avg: 115.79%  |  Length 110% rate: 61.29%   |
Iteration 3000      |  Loss: 0.92068374  |  Test Loss: 0.93505168  |  Test Acc: 62.41%   |  Error Rate: 39.60%   |  Real True Rate: 17.20%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.99%  |  Length 110% rate: 40.56%   |
Iteration 3500      |  Loss: 0.86025828  |  Test Loss: 0.88433379  |  Test Acc: 63.90%   |  Error Rate: 28.00%   |  Real True Rate: 19.90%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.64%  |  Length 110% rate: 39.03%   |
Iteration 4000      |  Loss: 0.92504483  |  Test Loss: 0.89304501  |  Test Acc: 63.38%   |  Error Rate: 28.40%   |  Real True Rate: 20.20%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.59%  |  Length 110% rate: 38.97%   |
Iteration 4500      |  Loss: 0.82482648  |  Test Loss: 0.82696664  |  Test Acc: 64.81%   |  Error Rate: 21.00%   |  Real True Rate: 21.80%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.56%  |  Length 110% rate: 39.75%   |
Iteration 5000      |  Loss: 0.78491706  |  Test Loss: 0.80842650  |  Test Acc: 65.00%   |  Error Rate: 16.10%   |  Real True Rate: 23.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 117.40%  |  Length 110% rate: 40.76%   |
Iteration 5500      |  Loss: 0.77469301  |  Test Loss: 0.80201375  |  Test Acc: 65.21%   |  Error Rate: 15.40%   |  Real True Rate: 23.00%   |  Fake True Rate: 0.00%    |  Length Rate Avg: 118.01%  |  Length 110% rate: 38.18%   |
